transaction_id,customer_id,category,subcategory,transaction_amount,login_hour,device,location,blink_rate,motion_score,spoof_probability,beneficiary_new,rooted_device,historical_risk,crime_context,risk_label,timestamp
T11,C1066,Online Financial Fraud,Internet Banking Related Fraud,8268.3,1,Emulator,Foreign,3,0.12,0.85,1,1,29,"Online Frauds   Advertisement Portal Fraud  eCommerce platform  Any Other
card number    
victim saw a advertisement on google while using the internet about low prize of the product on flipkart so victim believed that its the real web link so vict",high,2026-02-13 12:00:27.325136
T12,C1096,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,27287.57,12,VivoX100,Kolkata,13,0.42,0.03,0,0,23,CREDIT CARD FRAUD RS  INDUSIND BANK CREDIT CARD NO  on eveing from  i get message of first purchase i instantly give block message to bank but before it implemented there was five transaction     occur total of  rs fraud on my indusind bank credit ca,low,2026-04-30 13:36:27.325136
T13,C1184,Online and Social Media Related Crime,Cheating by Impersonation,107782.51,2,Unknown_Device,OtherCity,1,0.13,0.56,1,1,25,"      froud   

        froud  iphone        
iPhone       nhi        froud       ",high,2026-01-19 10:23:27.325136
T14,C1090,Online Financial Fraud,EWallet Related Fraud,7953.79,20,Samsung_S24,Hyderabad,12,0.32,0.11,0,0,9,I am work as beautician in sarapaka In this business purpose I got a call from  for Mehindi his talking only Hindi language For transaction i am shared my debit card number and phonepay number I received a OTP but i am not telling about otp But my mo,low,2026-03-27 05:29:27.325136
T15,C1041,Online Financial Fraud,UPI Related Frauds,35246.89,16,Samsung_S24,Bangalore,21,0.38,0.06,0,0,15,I posted an ad on olx regarding room for rent and this man approached saying he is a lieutenant and then he said i like the house confirm it and Ill pay the token amount And then he started the upi frauds one by one,low,2026-05-17 10:00:27.325136
T16,C1179,Cyber Attack/ Dependent Crimes,SQL Injection,71994.18,7,Pixel8,Delhi,14,0.52,0.1,0,0,1,"My friend mentioned something like this happened to them a few months ago, but I thought it was a one-off. Then, suddenly, I got this weird notification asking me to update my password, but the message didn’t look like the usual ones I receive from t",low,2026-03-27 15:06:27.325136
T17,C1045,Any Other Cyber Crime,Other,17742.82,23,Pixel8,Pune,17,0.35,0.17,0,0,32,I was performing good in company i was completing my target i had removed from company with out information please take action on them By targeting on me they had removed unnecessarilyi was top on the list in monthly achivement,low,2026-04-19 04:36:27.325136
T18,C1118,Online Financial Fraud,UPI Related Frauds,43600.27,21,Pixel8,Pune,9,0.21,0.09,0,0,20,"To
The Cyber Cell
Serampore Dakshin Rajyadharpur Paschim ParaHooghly


Subject Cybercrime complaint letter for digital fraud

Dear SirMadam

I would like to inform you that this morning while I was searching for some information on the inter",low,2026-03-22 04:29:27.325136
T19,C1043,Online Financial Fraud,UPI Related Frauds,6640.51,18,Pixel8,Kolkata,18,0.41,0.1,0,0,34,"FRAUD THROUGH   PHONE PE
BANK  STATE BANK OF INDIA
 ACCOUNT  NUMBER    
TOTAL AMOUNT  
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
",low,2026-05-07 15:29:27.325136
T20,C1117,Online Financial Fraud,UPI Related Frauds,23668.57,15,OnePlus12,Bangalore,10,0.34,0.02,0,0,29,"Dear Sir
Iam complaining about the person may be distant relative who impersonated himself on mobile phone call as eldest son of my late maternal uncle Sh Jagannath who was also the freedom fighter from Sirsaganj Shikhobad Mainpuri UP and took out a",low,2026-04-02 08:20:27.325136
T21,C1006,Online Financial Fraud,UPI Related Frauds,16027.96,12,iPhone15,Bangalore,16,0.35,0.04,1,0,19,"Dear sir
        Please stop the fraudulent transaction and refund the amount  in source account
 Regards 
",low,2026-05-13 11:49:27.325136
T22,C1107,Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,37138.03,17,Samsung_S24,Bangalore,17,0.33,0.17,0,0,7,I am gulshan kashyap i got a number thru the app and the girl call me on whatsapp video call and she record my video and she blackmail me to give me  for delete my video if i cannot give money so she will upload my video on social media  and her numb,low,2026-04-27 14:48:27.325136
T23,C1116,Any Other Cyber Crime,Other,45325.49,22,Pixel8,Hyderabad,14,0.46,0.04,0,0,34,I ordered for a tshirt at above mentioned website and made the payment of Rs  through Google pay and after that did not receive any order confirmation and anything related to this Please do the needful action I will be grateful to you,low,2026-03-24 07:02:27.325136
T24,C1177,Cyber Attack/ Dependent Crimes,Data Breach/Theft,39033.39,23,VivoX100,Bangalore,20,0.24,0.03,1,0,21,"I never imagined something like this could happen to me, especially since I'm so cautious. But then I started noticing that my online activity felt different, slower even. I can't even describe it well because everything seemed normal, except for the",low,2026-03-23 00:20:27.325136
T25,C1010,RapeGang Rape RGRSexually Abusive Content,,14928.37,22,Samsung_S24,Bangalore,8,0.34,0.19,1,0,19,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropol",low,2026-05-31 13:31:27.325136
T26,C1003,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,24197.53,15,VivoX100,Kolkata,16,0.51,0.12,0,0,21,my aadarpan and photo used and credit limit approved by dhani one freedom card and recovery agent contact me for amount recovery yesterday  after i relized  itthen i checked with agent and he send me some proves frouder used my my decuments and and p,low,2026-03-08 23:23:27.325136
T27,C1030,Online Financial Fraud,Internet Banking Related Fraud,26420.83,11,Pixel8,Pune,24,0.51,0.09,0,0,37," FRAUD THROUGH  NET BANKING
BANK SBI
AC 
 TOTAL AMOUNT 				
PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION ",low,2026-03-10 14:21:27.325136
T28,C1102,Any Other Cyber Crime,Other,182382.28,0,Unknown_Device,Foreign,4,0.1,0.88,1,1,18,one of my friend told me about this application KNC Chain In this we have to buy a machine of Rupees  and after buying it will give Rupees  for  days and we can withdraw the money anytime But after  day when i tried to withdraw the money It showing s,high,2026-04-16 14:51:27.325136
T29,C1166,Online Gambling  Betting,Online Gambling  Betting,33592.65,11,OnePlus12,Bangalore,23,0.33,0.01,0,0,35,they are looting my money indirectly by saying  percent profit I am attaching required telegram group link below and whatsapp number Please take immediate action of this website owner and member related to this websitehttpswwwlinacuncom Thank you    ,low,2026-03-29 12:51:27.325136
T30,C1062,Online Financial Fraud,EWallet Related Fraud,13583.45,14,Samsung_S24,Kolkata,19,0.37,0.03,0,0,9,I am vitam of online fraud i received the nassage like online part time job from this  they are ask me to deposite small amount like  to  finally they tool the amount of  from me and again they asking me to pay  fo income tax then i realized it is fr,low,2026-05-28 17:25:27.325136
T31,C1043,Online Financial Fraud,UPI Related Frauds,12428.8,16,Pixel8,Kolkata,20,0.27,0.11,0,0,34,"sir 
mujhe phone aya ki aap ko  rs melige phir google pay se paise bhejne ke liye bola to main ne  bheja ki wo  rs wapas kare lekin wo wapas nahi aya 
sir mere paise wapas karwane ki kirpya kare",low,2026-04-15 08:38:27.325136
T32,C1150,Online Financial Fraud,Internet Banking Related Fraud,22725.74,16,VivoX100,Delhi,14,0.38,0.04,1,0,36,"FRAUD THROUGH   	INTERNET BANKING 
			
BANK  	STATE BANK OF INDIA 

ACCOUNT NO    	
TOTAL AMOUNT  		

PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION",low,2026-05-25 22:07:27.325136
T33,C1134,Online Financial Fraud,EWallet Related Fraud,483367.59,2,Emulator,Foreign,0,0.03,0.97,1,1,12,"name  sanwar mal  district  jaipur  ps sanganer  pincode    suchnakrta ke phonepay no    suchnakrta ke ac no   union bank of india  
froder ke no      
frod by phon pay  total amount    
  
am   id  T  UTR    
pm    id T  UTR    
pm    id T  UT",high,2026-04-12 06:59:27.325136
T34,C1016,Online Financial Fraud,UPI Related Frauds,60491.25,21,iPhone15,Pune,15,0.56,0.06,0,0,29,"FRAUD THROUGH GOOGLE PAY UPI
BANK KOTAK MAHINDRA BANK
ACCOUNT NUMBER  
TOTAL AMOUNT 	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION",low,2026-04-28 18:47:27.325136
T35,C1146,Any Other Cyber Crime,Other,24187.42,18,VivoX100,Mumbai,17,0.39,0.18,0,0,12,That i am a victim of cyber fraudThat the call came from  they stated that they are calling from Axix bank They said that you have not closed your bank account But i sated them that i have closed my bank account after giving them back my passbook and,low,2026-04-21 14:56:27.325136
T36,C1051,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,641270.68,2,Unknown_Device,Foreign,3,0.11,0.74,1,1,27,DEBIT CARD FRAUD TOTAL AMOUNT  DEBIT CARD NO  MERE PAAS CALL AYA KI ME BLUE DART COURIER SE BOL RAHA HU APKA NEW MOBILE AYA HE HAMARE PAAS APKI RS  KI EK PAYMENT KATEGI USKE BAAD AGE KA PROCESS HOGA OR UNHONE MERE PAAS OTP BHEJA MENE OTP UNKO  BAAR B,high,2026-02-05 20:02:27.325136
T37,C1079,Online Financial Fraud,UPI Related Frauds,12730.18,7,iPhone15,Pune,18,0.28,0.16,0,0,13,The victim informed that he contact with customer  care number for registration for CSC and payment to caller online Rs through Paytem after payment caller more and more demand and finally block his number as Sated by the victim,low,2026-03-22 14:55:27.325136
T38,C1040,Online and Social Media Related Crime,Profile Hacking Identity Theft,49612.52,16,OnePlus12,Hyderabad,17,0.28,0.12,0,0,5,My instagram id was hacked And they created fake id using my picture apart from this they are harassing me by calling   messaging from different mobile numbers on whatsapp I made one  word file and added all the screenshots of all the fake accounts a,low,2026-01-30 00:38:27.325136
T39,C1079,Any Other Cyber Crime,Other,13250.62,10,iPhone15,Pune,18,0.34,0.08,0,0,13,guys are still chating with me and asking me to pay Rs and assuring me that if i pay that much then they will refund me the invested money with my earned commission as shown on that website Now my trust is fatal for them so I am not doing futher tran,low,2026-04-25 07:41:27.325136
T40,C1127,Online Financial Fraud,UPI Related Frauds,15524.61,7,VivoX100,Hyderabad,20,0.33,0.13,1,0,9,financial fraud ,low,2026-04-21 08:17:27.325136
T41,C1028,Online Financial Fraud,UPI Related Frauds,252773.33,2,Unknown_Device,Foreign,3,0.04,0.85,1,1,24,I have received a call for booking a room in Hotel Blue Waves and they told me that they will pay via phonepe and they somehow tricked me to send money instead receiving money I send Rs  in fraudsters account,high,2026-05-13 21:35:27.325136
T42,C1009,Online Financial Fraud,UPI Related Frauds,56705.32,8,iPhone15,Chennai,17,0.31,0.04,1,0,4,on the night of th January   around  pm i received a phone call from  who claimed to be a customer and asked for food delivery from my restaurant  He asked my UPI ID for the online payment of the same  And he sent Rs  only to me  and later asked for ,low,2026-05-01 15:02:27.325136
T43,C1026,Online Financial Fraud,Internet Banking Related Fraud,55650.84,23,Pixel8,Chennai,21,0.37,0.02,0,0,38,"gaw shastri colony disalwar pskishangarhwaas pincode  suchnakrta sarika ne btaya ki  ko bank ac se pm par total amount   rupee  bar me cut ho gya h 

suchnakrta ke pnb bank ac no 

  RUPEE    PM
  RUPEE    PM

Email id
sarikarajpugmailcom",low,2026-02-28 23:20:27.325136
T44,C1172,Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,53467.76,16,Pixel8,Hyderabad,11,0.46,0.17,0,0,13,Some fake id name kajal agrawal asked for a video call and then getting started nude and then record everything and send it to all my family members and ask for k to delet it It has already send it to all my family members and asked them money to del,low,2026-01-13 12:52:27.325136
T45,C1118,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,42768.24,21,Pixel8,Pune,11,0.27,0.07,1,0,20,please cancel this transaction and refund the money in credit card indusind bank and punishment to hackers and hacker mob no  name avdhesh kumar and and fir against avdhesh kumar and sent to jail avdhesh kumar sent to jail avdhesh kumar sent to jail ,low,2026-01-16 08:13:27.325136
T46,C1049,Online Financial Fraud,Internet Banking Related Fraud,19285.92,5,OnePlus12,Kolkata,17,0.51,0.19,0,0,29,YONO update  link KYc update  Amount lost  Rs ,low,2026-05-11 20:04:27.325136
T47,C1051,Online Financial Fraud,Internet Banking Related Fraud,27195.06,17,iPhone15,Mumbai,15,0.29,0.14,0,0,27,Received the whatsup message from  stating The Applications for the Students Laptop Scheme  Is Available Where as  I havent I applied anywhere apart from it my number is DND Registered Kindly look into this it might lead to scam and another common pe,low,2026-02-02 23:33:27.325136
T48,C1107,Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,15238.49,14,Samsung_S24,Bangalore,17,0.4,0.19,0,0,7,I have received the call to remove all the post related to the elections otherwise they will send n flash false rumour against you On social media They are posting an audio clip and my photo in my surroundings Which mentally very harmful for me I rec,low,2026-05-06 22:40:27.325136
T49,C1059,Online and Social Media Related Crime,FakeImpersonating Profile,29130.96,16,VivoX100,Chennai,18,0.54,0.08,0,0,40,I was playing the game Battlegrounds mobile India in evening then after the match is finished the random teammates took a screenshot of my DP and used it on their DP without any permission and are impersonating me I just looked into the recent player,low,2026-01-27 09:07:27.325136
T50,C1177,Online Financial Fraud,EWallet Related Fraud,29309.5,21,VivoX100,Bangalore,19,0.22,0.03,0,0,21,"name  sheesh  ram  district  hanumangarth  ps bhirani  pincode     suchnakrta ke phone pay no    suchankrta ke ac no   sbi bank  
froder ke  no     
ford by phone pay  total amount  rs 
 
pm  rs  id T UTR   
pm  rs  id T UTR   
suchnakrta ne bt",low,2026-05-26 08:04:27.325136
T51,C1110,Sexually Explicit Act,,25291.6,8,iPhone15,Hyderabad,12,0.33,0.09,0,0,5,I got a call from a skype id with no mutual contact and as I answered the call the caller turned on his video mode and was masturbating I disconnected the call and blocked the called The caller username was Mahima Chougale,low,2026-03-03 20:06:27.325136
T52,C1086,Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,83248.51,5,Unknown_Device,OtherCity,2,0.09,0.47,1,1,29,Person behind this facebook profile have every intention to defame my father and to disturb his reputation in the society   Above Video posted by this Facebook profile is tempered The vulgar Bhojpuri song is added in the original video and the origin,high,2026-04-10 06:25:27.325136
T53,C1114,Online Financial Fraud,Internet Banking Related Fraud,32378.67,8,iPhone15,Kolkata,11,0.2,0.12,0,0,20,"citizen detaiol
name shushil kumar      
add gav birod post palwa 
mobphone pay    
gmail      vermasushilgmailcom
ps    shahjahanpur           
dist    alwar     
pin code   
ac no   HDFC IFSC  HDFC
froud by      ACCOUNT SE          
 tran",low,2026-04-27 14:43:27.325136
T54,C1096,Cyber Attack/ Dependent Crimes,Data Breach/Theft,116110.16,2,Emulator,Foreign,2,0.13,0.91,1,1,23,"I never imagined something like this could happen to me, especially since I'm so cautious. But then I started noticing that my online activity felt different, slower even. I can't even describe it well because everything seemed normal, except for the",high,2026-05-18 09:51:27.325136
T55,C1115,Online Financial Fraud,UPI Related Frauds,18202.96,19,OnePlus12,Chennai,19,0.36,0.04,0,0,10,Amount debited from my account automatic,low,2026-01-19 14:29:27.325136
T56,C1148,Any Other Cyber Crime,Other,26799.03,17,Pixel8,Delhi,16,0.44,0.02,1,0,17,In Koko loan application I have applied for loan but not get any rs from the app and today they send the WhatsApp message me for payment back i also send the bank statement and all proof for not get any money from app,low,2026-04-27 18:49:27.325136
T57,C1168,Online and Social Media Related Crime,Profile Hacking Identity Theft,199472.94,0,Unknown_Device,OtherCity,0,0.14,0.64,1,1,4,"My Facebook account is hacked 
Change my number and primary email address
Please i request u recover my Facebook account
Because i purchase the game and  my photos and my all friends chat
Please sir recover my account",high,2026-04-21 14:54:27.325136
T58,C1128,Online Financial Fraud,UPI Related Frauds,282062.12,3,Emulator,Foreign,3,0.02,0.87,1,1,25,cashback ke nam se dhokhadhari kar  RS ki rakam nikal lena ,high,2026-05-01 15:18:27.325136
T59,C1121,Online Financial Fraud,EWallet Related Fraud,27778.78,7,Samsung_S24,Bangalore,19,0.5,0.08,0,0,35,"name  akchay  district  jallor  ps bhinmal  pincode    suchnakrta ke paytm no      suchnakrta ke  ac no  yes bank  
froder ke no     
frod by paytm  total amount   
  
am   id    
am   id    
pm   id   
suchnakrta ne btya ki unke pass call aya",low,2026-03-16 10:39:27.325136
T60,C1041,Online Financial Fraud,UPI Related Frauds,21117.94,18,Samsung_S24,Bangalore,20,0.35,0.04,0,0,15,I Sunil try to find out parttime job and got a message from this no   and this person gave me this link httpshtriumphcloudhagentidnux  Then I approached to name showing tobian contact no  This person gave me the different tasks to do and I paid  amou,low,2026-03-17 07:17:27.325136
T61,C1149,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,78914.45,3,Emulator,Foreign,2,0.11,0.8,1,1,19,I had received sms from  on  jan morning stating my sim card would be blocked if verification is not doneat  pm i received a call from claiming from JIO customer care to help in self verification of my sim card He told to do recharge top up of  rs fr,high,2026-03-05 13:16:27.325136
T62,C1144,Online and Social Media Related Crime,FakeImpersonating Profile,2287.12,23,OnePlus12,Hyderabad,12,0.35,0.12,0,0,18,Some unknown person created my  two fake accounts using my pictures on facebook  which i uploaded on my facebook profile long time agoThat person uploaded twotwo pictures on both fake accounts  first one was created   on  December   And  another one ,low,2026-05-15 20:26:27.325136
T63,C1184,Any Other Cyber Crime,Other,76720.1,21,VivoX100,Kolkata,15,0.42,0.08,0,0,25,I contacted the payment gateway they asked me to file a complaint regarding this They first asked to wait for a month after a month they told me to contact the bank But I have no idea hoe to contact a bank and file a complaint Then they provided me a,low,2026-03-05 14:39:27.325136
T64,C1152,Online Financial Fraud,Internet Banking Related Fraud,76808.93,22,iPhone15,Kolkata,20,0.43,0.03,1,0,21,S Suspected Caller Call To Me And Told That Your SBI YONO Account  Will Be Blacked Place Click And Uploaded Your MPIN No After Uploaded An Unknown  Link Victim Seen That Debited From The Account Of RSAs A One Installment,low,2026-05-07 00:21:27.325136
T65,C1194,Online Financial Fraud,UPI Related Frauds,6195.84,18,Samsung_S24,Mumbai,24,0.57,0.11,0,0,22,I am Ranbir Singh working in head post office rohtak and my phone no  I received a phone call at pm by this Phone no  he said to me that he is sending me rs  and his send me rs in my phone pay and then said pay rs and again rs after than his switch o,low,2026-04-14 23:02:27.325136
T66,C1100,Online Financial Fraud,UPI Related Frauds,26295.37,10,Pixel8,Mumbai,18,0.2,0.17,0,0,7, phone pay customer care number fake search in google then cash deduct in account ,low,2026-01-24 21:32:27.325136
T67,C1069,Online Financial Fraud,Internet Banking Related Fraud,4394.86,7,VivoX100,Chennai,14,0.37,0.12,0,0,3,I post an ad on OLX and got a call from a buyer who said that he wanted to buy the product and send money through UPI by sending a scan code He sent a photo and asked me to use that to get money I did that and money got debited from my account He the,low,2026-02-14 21:55:27.325136
T68,C1055,Online Financial Fraud,UPI Related Frauds,24208.47,18,Samsung_S24,Kolkata,16,0.19,0.2,0,0,24,"FRAUD THROUGH  UPI PHONE PE 

BANK   STATE BANK OF INDIA 

ACCOUNT NUMBER  

TOTAL AMOUNT  


PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION",low,2026-05-11 01:42:27.325136
T69,C1064,Online Financial Fraud,UPI Related Frauds,20314.19,6,Samsung_S24,Bangalore,18,0.39,0.13,1,0,7,"name Hemraj so  Tara chand
Add  jagdmba nagar heera pura power house plot noB
Distic  jaipur    PS  karni vihar     
Pin    Mob no
Email hemgmailcom
Froud by phonpay
Suchna krta ka phonpay no
Suchna krta ka bank Axis bank ac no     IFSCUTIB
",low,2026-02-20 09:26:27.325136
T70,C1065,Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,23480.05,6,iPhone15,Hyderabad,18,0.25,0.14,0,0,37,We use an internal management CRM platform to perform daily activities which is our own software that was developed by our company We noticed one of our owner account was disabled and display was removed a second account was used to access and disabl,low,2026-03-31 21:37:27.325136
T71,C1006,RapeGang Rape RGRSexually Abusive Content,,20705.1,11,iPhone15,Bangalore,17,0.29,0.01,1,0,19,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropol",low,2026-03-17 02:18:27.325136
T72,C1187,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,35491.89,20,Samsung_S24,Hyderabad,18,0.57,0.15,1,0,25,"Dear SirMadam 
On th Dec  I got SMS regarding balance deduction from my SBI DEBIT CARD without any OTP and after noticing few transactions I immediately blocked my Debit Card through SBI net banking and called SBI Customer Care Team for assistance a",low,2026-02-04 03:27:27.325136
T73,C1037,Online Financial Fraud,UPI Related Frauds,38211.71,9,iPhone15,Kolkata,12,0.66,0.19,0,0,0,Catch the person and immediately arrested and refound my amount plzz request sirfroud poor peoples and hake fb IDs and midnight fake profile chat and cheating name hardwalal phone pe marchant name bank to enquiry catch the htef,low,2026-05-14 17:43:27.325136
T74,C1193,Online Financial Fraud,Fraud CallVishing,2457.52,23,Samsung_S24,Delhi,13,0.4,0.19,0,0,3,I take a loan from magic money app  of  but they will give  instead of  okay then i pay suddenly the amont but it will only cut  after few day they message me in my whatsApp number and tell me to pay then i pay the remain amount of two transaction of,low,2026-04-17 18:31:27.325136
T75,C1066,Online Financial Fraud,UPI Related Frauds,659.13,17,OnePlus12,Hyderabad,20,0.24,0.17,1,0,29,"FRAUD THROUGH  UPI  FRAUD YONO BY SBI 

BANK  	State Bank of India	
ACCOUNT NUMBER   

TOTAL AMOUNT  

PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION 
",low,2026-02-01 08:15:27.325136
T76,C1126,Online Financial Fraud,Internet Banking Related Fraud,25518.29,13,Pixel8,Chennai,10,0.31,0.09,0,0,3,"FRAUD THROUGH Internet Banking Related Fraud	
BANK Bank of Baroda Including Vijaya Bank and Dena Bank	
ACCOUNT NUMBER
TOTAL AMOUNT 
PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION",low,2026-01-25 01:42:27.325136
T77,C1038,Online Financial Fraud,UPI Related Frauds,26469.6,8,OnePlus12,Hyderabad,19,0.42,0.1,0,0,37,"I am applying this loan  u pay  Processing feehe telling I paid money in Upi payment

I am correctly entered the Account details 
But thes guys are telling u r wrong account no entered so U are account is frez  you again pay  payment",low,2026-05-29 12:31:27.325136
T78,C1144,Online Financial Fraud,UPI Related Frauds,7112.46,23,OnePlus12,Hyderabad,9,0.34,0.07,0,0,18,"FRAUD THROUGH  UPI FRAUDPHONE PE
BANK     BANK OF BARODA
ACCOUNT NUMBER 
TOTAL AMOUNT 

	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
COMPLAINT  ACCOUNT AND TAKE NECESSARY ACTION

",low,2026-05-26 18:22:27.325136
T79,C1195,Online Financial Fraud,Internet Banking Related Fraud,30593.81,11,iPhone15,Chennai,10,0.41,0.14,0,0,18,Firstly one message had arrived saying to update the pan card and after that OTPs started coming from the bank and after that one message had arrived saying that rs has been debited from your account altough I had not done anything This happened and ,low,2026-03-02 17:44:27.325136
T80,C1011,Any Other Cyber Crime,Other,250361.51,3,Unknown_Device,Foreign,3,0.15,0.79,1,1,34,dear sire mere account no  jo bank of barode ke imiliya bazar branch me hai jo ki baigat date  ko mere account se  rs adhar se balance ko nikala gaya hai jo maine nikala hi nahi hai aur bank ko bataya gaya to bank ne bataya ki aap ka balance adhar dv,high,2026-04-30 13:04:27.325136
T81,C1000,Online Financial Fraud,Fraud CallVishing,1157.8,18,Pixel8,Hyderabad,14,0.3,0.12,0,0,16,this company froud to me to say three month training after  month placement and get best job but after  month no placement and not give me job and finince to me  for training so please help me to return my money ya a job,low,2026-02-25 07:03:27.325136
T82,C1133,Online Financial Fraud,Internet Banking Related Fraud,286372.54,5,Emulator,Foreign,1,0.02,0.96,1,1,1,Received msg from  asking to update Pan Card Number or else My YONO SBI Account will be blocked and it gave me a link when clicked on the link and entered the OTP received it directly deducted  from my SBI Account,high,2026-02-05 20:05:27.325136
T83,C1194,Online Financial Fraud,UPI Related Frauds,15215.87,16,Samsung_S24,Mumbai,23,0.61,0.11,0,0,22,Respected sir I received whatsapp msg and i replied them they sent me a link and asked to register an account i have registered an account and they asked to share account details and they asked to deposit money to my account and purchase the product ,low,2026-02-28 07:10:27.325136
